games	name	rating	years
29	ABDYJAPAR, Asyl	2406	2012-2014
37	AGHAYEV, Nijat	2407	2001-2014
36	AHMED, Esam Aly	2408	1996-2003
173	ARABIDZE, Meri	2411	2007-2015
84	AULIA, Medina Warda	2412	2010-2014
33	ANTUNAC, Goran	2412	1963-1999
33	AKBARINIA, Sayed Arash	2413	2001-2010
48	AKSHAT, Khamparia	2414	2005-2012
37	ADMIRAAL, Miguoel	2414	2008-2014
72	ALONSO, Francisco Javier Sanz	2415	1974-2012
68	ARKHANGELSKY, Boris	2416	1979-2008
50	ASGARIZADEH, Ahmad	2417	2012-2015
151	ARTEAGA, Eldis Cobo	2420	1952-1978
73	ALESKEROV, Faik	2421	1993-2012
28	ARDESHI, Mehrdad	2421	2001-2007
38	AMANOV, Zhanibek	2421	2006-2014
29	ALIAVDIN, Nikolai	2421	2005-2011
28	ARANDA, Angel Espinosa	2422	2010-2013
38	ABHISHEK, Kelkar	2422	2008-2015
137	ARTZI, Ido Ben	2423	2008-2015
62	ARSLANOV, Shamil	2424	2007-2014
25	AMBARTSOUMIAN, Armen	2424	1988-2003
35	ANAND, S Poobesh	2425	2002-2006
228	ANSELL, Simon T	2427	1991-2014
84	ANWESH, Upadhyaya	2429	2008-2012
70	ABDULOV, Orkhan	2429	2007-2014
517	ANDRUET, Gilles	2430	1981-1995
170	ARDIANSYAH, Haji	2430	1970-2012
70	ALZATE, Dario	2430	1982-2013
23	ABEL, Lajos	2430	1989-2012
57	ARNOLD, Lothar	2431	1976-2008
47	ARDAMAN, Miles	2432	1983-2012
64	ATABAYEV, Yusup	2432	2008-2015
29	ALEXIKOV, Alexander	2432	2001-2014
46	AKIMOV, Ivan	2434	2000-2008
28	ALCARAZ, Andres Felipe Gallego	2434	2007-2012
28	ALARCON, Julian Antonio Rojas	2435	2008-2011
256	ARAPOVIC, Vitomir	2437	1974-2013
127	ALVAREZ, Ismael Teran	2437	1993-2015
25	AKHMADEEV, Vadim	2439	1996-2010
73	ANDRIANOV, Nikolai	2439	1978-2007
59	ALMASI, Istvan	2440	1990-2005
49	ARMAS, Julius	2440	1977-2007
97	ANTON, Teodor	2441	2001-2013
45	AITBAYEV, Aslan	2441	2008-2014
