Current residence	Population 1 year and over	Same house 1 year ago	Same state of residence 1 year ago	Different state of residence 1 year ago	Alabama	Alaska	Arizona	Arkansas	California	Colorado	Connecticut	Delaware	District of Columbia	Florida	Georgia	Hawaii	Idaho	Illinois	Indiana	Iowa	Kansas	Kentucky	Louisiana	Maine	Maryland	Massachusetts	Michigan	Minnesota	Mississippi	Missouri	Montana	Nebraska	Nevada	New Hampshire	New Jersey	New Mexico	New York	North Carolina	North Dakota	Ohio	Oklahoma	Oregon	Pennsylvania	Rhode Island	South Carolina	South Dakota	Tennessee	Texas	Utah	Vermont	Virginia	Washington	West Virginia	Wisconsin	Wyoming	Total	Puerto Rico	U.S. Island Area	Foreign Country
New York	19528220	17418181	1693064	258571	1662	3180	7696	611	22241	2148	14649	1931	3323	22356	6111	1294	704	6736	1011	803	1047	1005	825	1350	8078	15222	3827	1221	1724	2344	394	55	2713	2179	35637	1419		12174	210	4766	869	831	21930	1541	4796	19	2957	12941	2259	1933	9743	3532	271	1983	320	158404	4885	349	153170
North Carolina	9832152	8332705	1166928	286533	4264	2467	2246	571	16448	5108	4754	812	1724	25532	15696	2546	293	7134	2349	1753	2627	2872	1195	1715	8196	3880	6339	2427	1029	2572	207	1096	1870	1202	12697	930	26255		501	11082	685	1311	10594	1356	26379	542	6397	15604	655	564	28250	4435	4987	1710	675	45986	1276	715	43995
North Dakota	729874	602508	85084	39059	402	390	887	192	1243	1018	0	0	19	1547	410	348	345	309	147	296	640	322	0	0	0	53	1284	13756	331	1364	1868	490	268	46	42	162	915	18		843	278	313	1185	0	308	2452	376	1064	330	0	160	1181	68	445	944	3223	0	215	3008
Ohio	11464891	9742065	1484132	196742	1189	1455	3348	1467	7793	3917	1251	878	670	14377	4924	355	234	9076	10968	1414	1060	18410	605	177	3751	1977	13480	1631	994	3277	528	339	1618	1404	3952	987	7759	10004	129		871	1538	18580	958	1717	464	6388	8360	982	56	6403	4084	8018	2789	136	41952	1874	0	40078
Oklahoma	3827288	3148699	550149	111346	993	1248	3729	7333	8180	4190	176	83	216	4894	1731	255	233	1396	1793	2982	8779	920	1126	55	709	420	778	846	850	6309	67	534	829	91	639	1152	2187	1169	626	1711		273	1407	117	779	505	3079	29191	1008	0	985	3102	38	1164	469	17094	359	484	16251
Oregon	3927857	3196441	571056	137008	156	4211	9446	570	35334	5446	848	0	271	1319	1142	3491	4995	1514	1099	509	671	91	1054	230	987	1335	980	2717	0	767	1800	414	3385	0	705	2617	2117	1810	947	828	1860		1972	161	163	602	371	7480	4149	122	1506	21655	0	1276	1885	23352	78	196	23078
Pennsylvania	12645888	11103966	1241534	232889	1535	2361	1735	549	9151	2615	2670	5611	1636	16230	4692	761	362	3522	2555	1434	1186	1746	1628	1280	21776	4974	5263	1521	12	1993	847	0	868	550	39423	506	31145	10006	220	10588	897	794		1187	3006	403	3269	9027	850	674	11541	2182	4708	1257	143	67499	7437	50	60012
Rhode Island	1045791	906936	98869	32621	347	54	0	0	1387	91	2180	26	0	1723	1843	89	0	233	98	80	153	251	488	417	557	10765	296	428	0	60	0	0	44	1007	1404	0	3563	1426	0	176	64	44	1245		474	0	72	445	0	93	922	76	0	0	0	7365	914	0	6451
South Carolina	4780659	4046123	542930	171969	3219	1225	2298	991	5826	3455	4030	661	649	12368	15496	1044	996	2854	2923	429	599	3312	1565	1462	4291	1620	4002	1111	1055	1495	294	323	499	950	4226	1237	11241	31188	0	5369	1115	304	7637	646		352	4113	6567	434	249	8860	5453	687	1249	0	19637	1325	253	18059
South Dakota	842076	701352	109496	28198	0	374	1008	23	1920	1388	0	0	0	329	167	0	177	520	489	2531	842	161	106	0	130	186	86	4321	0	127	990	1411	531	80	11	330	697	163	1635	490	711	13	36	0	37		610	882	131	0	1453	198	0	541	2363	3030	0	96	2934
Tennessee	6471445	5465071	796577	182130	9640	837	2605	7625	8847	2482	390	427	747	17196	15713	438	288	8853	6087	835	613	9157	1126	207	2300	1753	6125	962	8166	5513	260	129	681	249	741	596	5614	12148	127	4627	2068	922	2555	1035	6164	282		10134	216	162	7979	2885	1943	1551	130	27667	373	145	27149
Texas	26588600	22151594	3681042	538572	6437	8487	18001	11926	63591	18277	3110	1411	1266	40930	19023	3871	3120	23258	6235	6444	11585	5990	23805	1385	9291	6208	12267	6946	12308	11921	659	3343	7050	1784	7015	17262	21347	16934	665	11841	25096	4772	12193	1852	6569	2041	15159		4688	568	18454	10450	2328	7762	1647	217392	6274	2741	208377
Utah	2894001	2407608	374578	90234	365	1302	8362	119	14510	4111	173	0	395	2920	1139	1556	7021	1227	535	568	193	0	220	162	304	1506	629	904	752	2174	898	535	6612	119	473	1621	2059	1172	125	1893	614	2655	1110	35	944	0	361	5780		138	2332	5274	44	543	3750	21581	280	0	21301
Vermont	620898	536915	59850	22635	0	225	111	0	1222	645	1167	16	0	1090	152	0	0	224	134	61	39	176	0	538	605	4462	181	2	26	67	413	0	47	2572	616	105	2554	196	32	76	62	252	1180	864	197	147	151	462	330		694	358	155	0	29	1498	0	0	1498
Virginia	8224054	6891144	995822	262477	2654	2656	3605	57	16013	5487	2185	367	12511	22478	8802	2729	679	3626	2811	746	1859	3655	2041	1043	28071	4821	2608	3606	1999	2856	389	753	1251	694	9182	525	16980	22191	444	7651	918	1464	14296	1350	5780	158	6832	13337	2554	255		5025	8620	1716	147	74611	1922	266	72423
Washington	6979369	5757065	934922	220259	1640	7216	8931	1406	40085	6779	1400	624	372	7190	4536	4596	12825	4984	1999	1943	2889	1249	1203	745	1729	2003	2276	1788	485	2992	4294	675	4969	91	2038	2461	6630	4868	905	3496	1876	26582	3117	400	3177	1577	967	12528	4836	690	6427		258	2129	1383	67123	728	1034	65361
West Virginia	1831414	1617510	162340	47957	144	1797	298	526	1552	877	244	185	1078	2815	690	0	0	182	507	0	0	1797	128	0	5834	150	347	147	184	390	252	0	28	0	1072	0	865	2579	46	8093	208	163	4834	0	639	0	619	1967	61	9	6334	0		316	0	3607	0	0	3607
Wisconsin	5692727	4868506	688104	117831	452	473	2172	665	6428	1458	376	16	322	4337	1407	518	118	30423	2636	4054	403	489	47	221	551	691	5593	20758	1142	2213	403	584	1078	221	816	187	2597	2913	547	3100	1112	599	1416	184	1739	236	1534	5341	1215	130	2113	1717	70		16	18286	937	48	17301
Wyoming	577782	475740	74601	25992	254	45	1799	557	2703	5217	0	38	0	916	61	72	835	561	309	13	70	47	289	196	191	0	67	173	0	244	1342	429	658	0	0	747	190	18	869	0	44	316	9	0	8	664	364	1648	1290	0	140	1446	106	1047		1449	0	0	1449
Puerto Rico	3511186	3251389	237197	19771	50	150	0	0	552	0	530	0	28	4299	228	177	0	111	0	0	0	68	0	0	189	2639	55	542	63	99	0	0	0	148	986	0	2507	542	0	321	36	69	3133	268	0	26	53	1255	0	0	258	180	0	209	0	2829	N/A3	0	2829
